cod,NOMBRE,DEPTO,MPIO,LATITUD,LONGITUD,FECHA_INST,FECHA_SUSP
11010010,VUELTA LA [11010010],CHOCÓ,LLORÓ,5.4588611111,-76.545,15/01/1943,
11017010,AGUASAL [11017010],CHOCÓ,LLORÓ,5.4736111111,-76.53775,15/05/1976,
11020010,CARMEN DE ATRATO ,CHOCÓ,EL CARMEN,5.9085277778,-76.1420833333,15/10/1958,
11020020,GUADUAS [11020020],CHOCÓ,EL CARMEN,5.7666666667,-76.1833333333,15/03/1977,15/04/2002
11020050,PINON EL   [11020050],CHOCÓ,EL CARMEN,5.7576666667,-76.2508611111,15/10/1958,
11025010,MANSA LA   [11025010],ANTIOQUIA,CIUDAD BOLÍVAR,5.8783055556,-76.0843333333,15/07/1973,
11027010,PTE LAS SANCHEZ  ,CHOCÓ,EL CARMEN,5.8519722222,-76.1808055556,15/08/1972,06/01/2016
11027020,OCHO EL [11027020],CHOCÓ,EL CARMEN,5.85,-76.25,15/04/1972,15/02/1979
11027030,SIETE EL [11027030],CHOCÓ,EL CARMEN,5.862,-76.1520555556,15/12/1979,
11027040,ARRAYANES LOS ,CHOCÓ,EL CARMEN,5.8,-76.3,15/12/1979,10/12/2008
11027050,GINDRAMA [11027050],CHOCÓ,LLORÓ,5.5215555556,-76.5177222222,15/12/1979,
11027060,PINON EL [11027060],CHOCÓ,EL CARMEN,5.7333333333,-76.3666666667,15/03/1959,15/11/1971
11027070,BORAUDO AUTOM   ,CHOCÓ,LLORÓ,5.5146111111,-76.5756944444,15/04/2005,05/01/2016
11030040,PAIMADO [11030040],CHOCÓ,RIO QUITO (Paimadó),5.4816111111,-76.7408611111,15/02/1977,
11035010,LLORO    [11035010],CHOCÓ,LLORÓ,5.499,-76.5380555556,15/03/1983,
11035020,SAN ISIDRO   [11035020],CHOCÓ,RIO QUITO (Paimadó),5.6261666667,-76.7497222222,15/03/1983,
11037010,SAN ISIDRO [11037010],CHOCÓ,RIO QUITO (Paimadó),5.62625,-76.7497222222,15/05/1967,21/09/2005
11037030,LA LOMA PUEBLO ,CHOCÓ,RIO QUITO (Paimadó),5.5846666667,-76.7532777778,15/04/2005,
11040010,TUTUNENDO [11040010],CHOCÓ,QUIBDÓ,5.7436111111,-76.5378055556,15/01/1966,
